职位名称,标签,城市,薪资,工作年限,学位要求,工作要求,公司名称,公司类型,人数,Logo,发布时间
Android framework 工程师,"2年,本科,计算机,java,电子,linux,c++,app开发,git代码管理,att,android系统,实验室认证,五险一金,绩效奖金,年终奖金,定期体检,专业培训",深圳深圳龙华区,1.8-2.8万,2年,本科,https://jobs.51job.com/shenzhen-lhq/152225581.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,深圳市中诺通讯有限公司,国企,10000人以上,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_001_small.png,2023-11-29 10:16:23
智能家居Android应用软件开发工程师,"5-7年,本科,android,智能家居,安卓开发,安卓,八险一金,绩效奖金,年终奖金,补充医疗保险,出国机会,员工旅游,透明上升空间,弹性工作,专业培训,定期体检",辽宁省大连高新园区,15-20万/年,5-7年,本科,https://jobs.51job.com/dalian-gxyq/131224435.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,松下电器软件开发（大连）有限公司,外资（非欧美）,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_la_06_small.png,2023-11-29 10:55:15
Android开发工程师,"3-4年,大专,linux,Android,五险一金,绩效奖金,弹性工作,专业培训,年终奖金",上海上海,1-1.5万,3-4年,大专,https://jobs.51job.com/shanghai/143518635.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,上海奥意特信息科技有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_la_02_small.png,2023-11-29 04:00:49
Android软件工程师,"5-7年,本科,计算机,java,需求分析,开发,编程,app,android,架构设计,蓝牙通信,做五休二,带薪年假,五险一金,绩效奖金,节日福利,交通补贴,餐饮补贴",上海上海嘉定区,1.5-2.5万·14薪,5-7年,本科,https://jobs.51job.com/shanghai-jdq/151287572.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,上海司南卫星导航技术股份有限公司,已上市,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_003_small.png,2023-11-29 09:29:59
Android开发工程师,"3-4年,大专,软件开发,安卓,wifi,蓝牙,android,camera,c++,安卓系统开发,五险一金,员工旅游,专业培训,餐饮补贴,年终奖金",深圳深圳宝安区西乡,1.9-3.5万,3-4年,大专,https://jobs.51job.com/shenzhen-baq/139390160.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,深圳市天普瑞科技有限公司,民营,150-500人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_003_small.png,2023-11-29 04:00:33
Android开发工程师（杭州）,"5-7年,本科,餐饮补贴,年终奖金,定期体检,员工旅游,绩效奖金,五险一金,免费班车",浙江省杭州临平区,1.3-2.5万·14薪,5-7年,本科,https://jobs.51job.com/hangzhou-lpq/150236935.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,浙江健拓医疗仪器科技有限公司,民营,1000-5000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_la_04_small.png,2023-11-29 04:00:18
Android驱动开发工程师,"2年,本科,驱动,人脸,指纹,充电,BSP,五险一金,弹性工作,绩效奖金,定期体检",深圳深圳南山区,1.5-2.5万,2年,本科,https://jobs.51job.com/shenzhen-nsq/141459642.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,诚迈科技（南京）股份有限公司,外资（欧美）,1000-5000人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_001_small.png,2023-11-29 04:00:49
Android（安卓）/APP开发工程师,"2年,本科,五险一金,交通补贴,餐饮补贴,绩效奖金,年终奖金,通讯补贴",上海上海浦东新区,1-2万,2年,本科,https://jobs.51job.com/shanghai-pdxq/89021543.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,上海北辰软件股份有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_002_small.png,2023-11-29 09:34:07
Android开发工程师,"3-4年,本科",上海上海浦东新区,1.2-2万,3-4年,本科,https://jobs.51job.com/shanghai-pdxq/151989379.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,上海匠心互娱网络科技有限公司,民营,少于50人,http://img01.51jobcdn.com/imehire/userportrait/default/li_portrait_female_006_small.png,2023-11-24 04:18:02
Android系统Framework工程师,"2年,本科,java,c++,wms,pms,ams,系统源码,五险,节日福利,年终奖金",广东省广州番禺区,1.5-2.2万,2年,本科,https://jobs.51job.com/guangzhou-pyq/148704534.html?s=sou_sou_soulb&t=0_0&req=f957ff3b0c5034d34d1aca2099a3af59,广州市定昌电子有限公司,民营,50-150人,http://img01.51jobcdn.com/imehire/userportrait/5/4041/4040388/bb5e1c3d10b93b696cc9dcc7714be4de_small.gif?1621646349,2023-11-29 09:17:09
